DreamerV3 training-episode score, last 50k frames before 400k: per seed [87.4, 78.0, 52.9, 104.6, 86.3], mean 81.8, CI (66.5, 95.6)

arm                         n     mean      sd    95% CI (over seeds)   win  floes   norm  per seed
PPO @100k greedy            3    41.83    3.57           [37.8, 44.6]  0.00    4.2  0.037  [37.8, 43.1, 44.6]
PPO @100k sampled           3    44.17    3.50           [40.2, 46.8]  0.00    4.4  0.047  [40.2, 45.5, 46.8]
IMPALA @100k greedy         3    41.83    3.57           [37.8, 44.6]  0.00    4.2  0.037  [37.8, 43.1, 44.6]
IMPALA @100k sampled        3    39.60    2.26           [38.1, 42.2]  0.00    4.0  0.027  [38.1, 38.5, 42.2]
BBF RR=2 v4 (PlayTrain)     5   150.44   30.87         [127.3, 173.3]  0.36   11.4  0.516  [111.3, 137.9, 139.7, 176.2, 187.1]
BBF RR=8 v4 (PlayTrain)     5   203.46   27.64         [182.8, 224.1]  0.59   14.4  0.750  [166.0, 192.1, 197.7, 230.7, 230.8]
DreamerV3 sampled           5    96.28   24.35          [78.3, 115.7]  0.05    9.1  0.277  [64.2, 85.8, 91.3, 113.8, 126.3]
DreamerV3 greedy            5    97.28   24.75          [79.2, 117.2]  0.06    9.2  0.282  [64.2, 88.5, 90.8, 115.6, 127.3]

DreamerV3 sampled vs PPO @100k greedy        : diff  +54.45  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 sampled vs PPO @100k sampled       : diff  +52.11  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 sampled vs IMPALA @100k greedy     : diff  +54.45  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 sampled vs IMPALA @100k sampled    : diff  +56.68  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 sampled vs BBF RR=2 v4 (PlayTrain) : diff  -54.16  exact p 0.0238 (floor 0.0079, 252 splits)
DreamerV3 sampled vs BBF RR=8 v4 (PlayTrain) : diff -107.18  exact p 0.0079 (floor 0.0079, 252 splits)
DreamerV3 greedy vs PPO @100k greedy        : diff  +55.45  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 greedy vs PPO @100k sampled       : diff  +53.11  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 greedy vs IMPALA @100k greedy     : diff  +55.45  exact p 0.0357 (floor 0.0357, 56 splits)
DreamerV3 greedy vs IMPALA @100k sampled    : diff  +57.68  exact p 0.0179 (floor 0.0357, 56 splits)
DreamerV3 greedy vs BBF RR=2 v4 (PlayTrain) : diff  -53.16  exact p 0.0238 (floor 0.0079, 252 splits)
DreamerV3 greedy vs BBF RR=8 v4 (PlayTrain) : diff -106.18  exact p 0.0079 (floor 0.0079, 252 splits)
